package,latest_version,keywords,publish_time,description,creation_date,number_of_versions,download_count
@aws-sdk/middleware-endpoint,3.374.0,[],1689851937,[![NPM version](https://img.shields.io/npm/v/@aws-sdk/middleware-endpoint/latest.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-endpoint) [![NPM downloads](https://img.shields.io/npm/dm/@aws-sdk/middleware-endpoint.svg)](https://www.npmjs.com/pac,2022-09-14T19:29:41.334Z,50,89581744
@egjs/component,3.0.5,[],1697764940,A base class utility that manages events and options in modules.,2017-04-26T07:23:53.231Z,18,4807896
@oxlint/linux-x64-musl,0.11.1,[],1731125881,,2024-01-22T12:15:08.734Z,57,1430443
@tryghost/metrics,1.0.35,[],1724264128,## Install,2021-10-11T14:22:26.162Z,47,223466
@stoplight/types,14.1.1,[],1704444164,Common typings for the Stoplight ecosystem.,2018-07-30T18:13:22.460Z,110,103828415
@sentry/replay,7.116.0,[],1715922028,User replays for Sentry,2022-03-31T14:37:45.438Z,233,179753171
parse-imports,2.2.1,"['esm', 'imports', 'module', 'parser', 'imports']",1726860872,A blazing fast ES module imports parser.,2020-06-04T23:31:19.908Z,15,14025942
css-font-parser,2.0.1,"['css', 'font', 'family', 'parser']",1727739216,A parser for the CSS font value,2013-07-17T17:34:29.807Z,8,700219
connect-mongo,5.1.0,"['connect', 'mongo', 'mongodb', 'session', 'express']",1697280167,MongoDB session store for Express and Connect,2011-03-08T05:36:36.406Z,67,6650514
loopback,3.28.0,"['web', 'restful', 'rest', 'api', 'express', 'restify', 'koa', 'auth', 'security', 'oracle', 'mysql', 'nosql', 'mongo', 'mongodb', 'sqlserver', 'mssql', 'postgres', 'postgresql', 'soap', 'StrongLoop', 'framework', 'mobile', 'mBaaS']",1606313226,LoopBack: Open Source Framework for Node.js,2013-09-13T01:45:33.503Z,183,1016674
@tryghost/webhook-mock-receiver,0.2.15,[],1724264122,Up to date documentation about the usage of the module available in [End-to-end Testing Codex](https://ghost.notion.site/End-to-end-Testing-6a2ef073b1754b18aff42e24a632a007#827471b6314640758460b9c1e22b34c4).,2022-05-30T06:23:50.355Z,19,185203
@styled-icons/fluentui-system-filled,10.47.0,['styled-icons'],1671720849,FluentUI System (filled) icons available as Styled Components,2021-03-22T16:35:10.046Z,7,772125
@standardnotes/spreadsheets,1.8.2,[],1708579135,"<div align=""center"">",2022-11-04T13:32:24.864Z,5,630
@docusaurus/logger,3.6.1,[],1731058885,An encapsulated logger for semantically formatting console messages.,2021-12-20T16:28:38.419Z,1086,16059358
buffer-xor,2.0.2,"['bits', 'bitwise', 'buffer', 'buffer-xor', 'crypto', 'inline', 'math', 'memory', 'performance', 'xor']",1503294398,A simple module for bitwise-xor on buffers,2015-05-21T05:17:46.626Z,7,447396111
unist-util-inspect,8.1.0,"['unist', 'unist-util', 'util', 'utility', 'inspect', 'debug', 'log', 'console']",1721103331,unist utility to inspect nodes,2015-07-31T14:57:58.581Z,19,17282203
@ng-select/ng-select,13.9.1,"['angular', 'select', 'ui-select', 'dropdown', 'multiselect', 'autocomplete', 'angular2']",1728637755,"Angular ng-select - All in One UI Select, Multiselect and Autocomplete",2017-08-14T14:47:49.109Z,278,17644923
@types/mjml-core,4.15.1,[],1730601357,TypeScript definitions for mjml-core,2020-12-22T21:02:37.947Z,7,9905685
@strapi/admin,5.4.0,[],1731485533,Strapi Admin,2021-07-30T09:23:16.804Z,1374,5090343
@firebase/app-check,0.8.10,[],1731569186,The App Check component of the Firebase JS SDK,2021-05-11T16:48:20.361Z,1320,77238941
sisteransi,1.0.5,"['ansi', 'escape codes', 'escape', 'terminal', 'style']",1584507206,ANSI escape codes for some terminal swag,2018-02-20T02:27:53.074Z,9,1140474028
gh-pages,6.2.0,"['git', 'gh-pages', 'github']",1728561390,Publish to a gh-pages branch on GitHub (or any other branch on any other remote),2014-03-18T22:33:50.732Z,34,17438979
psl,1.10.0,"['publicsuffix', 'publicsuffixlist']",1730984045,Domain name parser based on the Public Suffix List,2014-10-14T05:53:39.575Z,47,1414034250
@radix-ui/react-dialog,1.1.2,[],1727787582,,2020-12-15T15:31:21.495Z,237,129665543
detective-es6,5.0.0,"['detective', 'es6', 'es2015', 'dependencies', 'module', 'ast', 'import']",1713048105,Get the dependencies of an ES6 module,2014-10-25T22:13:34.083Z,22,58636009
react-native-webview,13.12.3,[],1727872391,"React Native WebView component for iOS, Android, macOS, and Windows",2015-12-08T07:35:21.505Z,327,36338982
@img/sharp-darwin-arm64,0.33.5,[],1723784947,Prebuilt sharp for use with macOS 64-bit ARM,2023-10-13T14:22:18.306Z,19,16703002
protocols,2.0.1,"['protocols', 'protocol', 'url', 'parse']",1656290601,Get the protocols of an input url.,2015-08-05T17:36:30.641Z,16,220797009
swap-case,3.0.3,"['swap', 'case', 'invert', 'convert', 'transform', 'lower', 'upper']",1705232739,"Transform a string by swapping every character from upper to lower case, or lower to upper case",2014-03-24T22:53:02.534Z,14,214874959
@nx/js,20.1.2,"['Monorepo', 'Web', 'Node', 'Swc', 'Tsc', 'CLI', 'Front-end', 'Backend']",1731663543,The JS plugin for Nx contains executors and generators that provide the best experience for developing JavaScript and TypeScript projects. ,2023-04-17T15:03:18.209Z,739,86678778
redbox-react,1.6.0,"['redbox', 'rsod', 'react', 'react-native']",1524725873,A redbox (rsod) component to display your errors.,2015-07-28T16:04:13.298Z,34,5121309
@react-aria/slider,3.7.13,[],1728914784,Slider,2020-08-18T18:15:12.262Z,794,31886553
eslint-plugin-tsdoc,0.3.0,"['TypeScript', 'documentation', 'doc', 'comments', 'JSDoc', 'TSDoc', 'ESLint', 'plugin']",1716903277,An ESLint plugin that validates TypeScript doc comments,2019-10-21T03:32:04.415Z,23,26535503
graphql-upload,17.0.0,"['graphql', 'upload', 'file', 'multipart', 'request', 'server', 'middleware', 'koa', 'express', 'apollo', 'esm', 'mjs']",1728333928,Middleware and a scalar Upload to add support for GraphQL multipart requests (file uploads via queries and mutations) to various Node.js GraphQL servers.,2018-09-18T04:59:28.951Z,22,16435356
keycharm,0.4.0,[],1602235304,"Simple, lightweight key-binding lib",2014-11-06T13:17:05.821Z,19,14222018
@nx/nx-linux-arm64-gnu,20.1.2,[],1731663512,,2023-04-17T15:02:48.716Z,742,34004249
@netless/canvas-polyfill,0.0.4,"['canvas', 'polyfill', 'getTransform']",1600906866,"a polyfill for canvas getTransform, ellipse, resetTransform API",2020-06-29T06:20:22.870Z,4,74084
@types/gtag.js,0.0.20,[],1717146410,TypeScript definitions for gtag.js,2019-03-30T03:37:53.759Z,21,23428109
widest-line,5.0.0,"['string', 'character', 'unicode', 'width', 'visual', 'column', 'columns', 'fullwidth', 'full-width', 'full', 'ansi', 'escape', 'codes', 'cli', 'command-line', 'terminal', 'console', 'cjk', 'chinese', 'japanese', 'korean', 'fixed-width']",1698484792,Get the visual width of the widest line in a string - the number of columns required to display it,2015-11-04T11:31:15.944Z,8,653092130
@types/randomcolor,0.5.9,[],1699335889,TypeScript definitions for randomcolor,2016-09-21T20:28:13.515Z,13,2231930
node-netstat,1.9.0,"['netstat', 'utility']",1697314581,programmatic netstat utility,2014-11-09T01:42:49.922Z,20,261263
es6-promise,4.2.8,"['futures', 'polyfill', 'promise', 'promises']",1559815163,A lightweight library that provides tools for organizing asynchronous code,2013-12-16T09:58:04.368Z,34,467901929
@types/babel__helper-module-imports,7.18.3,[],1699285163,TypeScript definitions for @babel/helper-module-imports,2023-01-12T09:32:39.862Z,4,1282430
@casl/ability,6.7.2,"['permissions', 'authorization', 'acl', 'abac', 'rbac', 'ibac', 'cancan']",1730241256,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access,2018-02-22T20:17:04.806Z,85,27276682
@intlify/devtools-if,9.14.1,"['devtools', 'i18n', 'internationalization', 'intlify']",1727312742,@intlify/devtools-if,2021-04-07T17:13:49.390Z,131,11550844
smee-client,2.0.4,[],1729148841,Client to proxy webhooks to localhost,2018-01-09T15:08:16.414Z,21,2175341
@storybook/theming,8.4.4,['storybook'],1731566208,Core Storybook Components,2019-01-16T02:54:54.657Z,1795,486966803
fstream-ignore,1.0.5,[],1463489296,A thing for ignoring files based on globs,2012-03-22T06:05:21.833Z,16,15263808
lunr-languages,1.14.0,[],1696854789,A a collection of languages stemmers and stopwords for Lunr Javascript library,2014-07-27T11:51:47.540Z,16,6296144
rollup-plugin-cleanup,3.2.1,"['rollup', 'rollup-plugin', 'javascript', 'es6', 'modules', 'comments', 'removal', 'cleanup']",1600794160,"Rollup plugin to trim trailing spaces, compact empty lines, and normalize line endings",2016-09-05T12:08:37.275Z,15,1736036
@wordpress/element,6.12.0,"['wordpress', 'gutenberg', 'element', 'react']",1731751908,Element React module for WordPress.,2018-05-30T19:08:02.036Z,172,9407196
@docusaurus/plugin-google-gtag,3.6.1,[],1731058901,Global Site Tag (gtag.js) plugin for Docusaurus.,2019-07-14T10:36:57.062Z,1809,13341293
forwarded-parse,2.1.2,"['forwarded', 'RFC-7239', 'rfc-7239', 'RFC7239', 'rfc7239', 'header', 'parser', '7239', 'RFC', 'rfc']",1635940506,Parse the Forwarded header (RFC 7239) into an array of objects,2015-06-04T20:05:44.405Z,6,16666043
@embroider/webpack,4.0.8,[],1728514631,Builds EmberJS apps with Webpack,2018-10-16T13:32:48.424Z,455,1937329
@prisma/instrumentation,5.22.0,"['prisma', 'instrumentation', 'opentelemetry', 'otel']",1730791944,OpenTelemetry compliant instrumentation for Prisma Client,2022-07-14T15:17:22.087Z,4397,36916948
@base2/pretty-print-object,1.0.2,"['object', 'stringify', 'pretty', 'print', 'dump', 'format', 'type', 'json']",1651119863,Convert an object or array into a formatted string,2019-09-02T12:54:07.545Z,9,208265586
hast-util-from-parse5,8.0.1,"['unist', 'hast', 'hast-util', 'util', 'utility', 'transform', 'change', 'ast']",1691465424,hast utility to transform from Parse5’s AST,2016-07-26T12:57:11.840Z,21,184870031
@openobserve/browser-rum,0.2.11,[],1705721822,Openobserve Real User Monitoring (RUM) enables you to visualize and analyze the real-time performance and user journeys of your application's individual users.,2023-11-01T13:21:32.884Z,5,94827
@octokit/graphql,8.1.1,"['octokit', 'github', 'api', 'graphql']",1713177723,GitHub GraphQL API client for browsers and Node,2018-11-26T01:15:14.068Z,59,408507237
@contentlayer/client,0.3.4,[],1688000399,,2021-04-13T20:39:32.688Z,233,2446378
@ant-design/icons-vue,7.0.1,[],1696618637,Ant Design Icons for Vue,2018-11-16T02:14:16.246Z,28,4524387
@nolyfill/is-generator-function,1.0.29,[],1707712420,,2023-08-28T14:41:21.850Z,8,406391
hast-util-raw,9.1.0,"['hast-util', 'hast', 'html', 'unist', 'utility', 'util', 'parse', 'raw']",1731571343,hast utility to reparse a tree,2016-10-20T09:37:55.255Z,29,171530080
@types/graphql-upload,16.0.7,[],1704272829,TypeScript definitions for graphql-upload,2019-05-13T17:50:40.602Z,24,9481042
@fawmi/vue-google-maps,0.9.79,"['Vue', 'Vue.js', 'Google Maps', 'Vue 3 Google maps']",1661845666,Google Map components for Vue.js 3,2020-10-19T11:13:40.159Z,70,728368
@ngx-translate/http-loader,16.0.0,"['@ngx-translate', 'ngx-translate', 'angular', 'i18n', 'translation']",1730613046,http loader for dynamically loading translation files for @ngx-translate/core,2016-12-28T10:31:39.574Z,18,32059838
@types/sizzle,2.3.9,[],1729626161,TypeScript definitions for sizzle,2017-06-29T15:25:27.650Z,10,338050032
@vue/cli-plugin-router,5.0.8,"['vue', 'cli', 'router']",1657160527,router plugin for vue-cli,2019-07-06T11:52:23.633Z,88,30727494
@vx/group,0.0.199,"['vx', 'react', 'd3', 'visualizations', 'charts', 'svg']",1599641334,vx group,2017-03-20T19:44:52.150Z,47,9822902
merge,2.1.1,"['merge', 'recursive', 'extend', 'clone', 'object', 'browser']",1613996542,(recursive)? merging of (cloned)? objects.,2012-05-07T01:51:27.304Z,9,114094361
@mdn/browser-compat-data,5.6.15,"['bcd', 'browser-compat-data', 'browser', 'compatibility', 'data', 'mdn', 'mozilla']",1731418445,Browser compatibility data provided by MDN Web Docs,2020-09-17T11:27:51.022Z,265,37030860
@stylelint/postcss-markdown,0.36.2,"['postcss', 'syntax', 'markdown', 'html', 'css', 'less', 'sass', 'scss', 'sss', 'sugarss']",1605596287,PostCSS syntax for parsing Markdown,2020-04-06T11:50:42.494Z,2,37256113
compression,1.7.5,[],1730359574,Node.js compression middleware,2014-01-01T23:38:49.435Z,37,925960324
webpack-log,3.0.2,"['log', 'logger', 'logging', 'console', 'terminal', 'webpack']",1615448449,A logger for the Webpack ecosystem,2017-12-18T05:49:13.840Z,11,217809768
trie-prefix-tree,1.5.1,"['javascript', 'trie', 'words']",1549716592,"Create and modify trie prefix structures, extract word lists including anagrams and sub-anagrams",2017-02-17T19:33:30.058Z,13,206949
@prismicio/slice-simulator-react,0.2.3,"['typescript', 'prismic']",1671504725,Preview and develop Prismic slices fast with minimal configuration,2022-01-17T19:09:11.976Z,10,628680
@jnwng/walletconnect-solana,0.3.0,[],1708609022,,2022-08-12T19:55:40.679Z,16,1597909
neo4j-driver,5.26.0,[],1728875895,The official Neo4j driver for Javascript,2015-04-03T19:49:54.482Z,162,4817993
cspell-grammar,8.16.0,"['cspell', 'grammar']",1730929642,Grammar parsing support for cspell,2018-05-07T21:19:48.220Z,155,23058314
galactus,1.0.0,"['prune', 'production']",1667522360,Prunes dependencies from your package,2018-01-02T01:28:56.778Z,5,8761392
lodash.isfunction,3.0.9,"['lodash-modularized', 'isfunction']",1517688529,The Lodash method `_.isFunction` exported as a module.,2013-09-23T06:34:15.101Z,17,262400562
semver-compare,1.0.0,"['semver', 'compare', 'cmp', 'comparison', 'sort']",1415397238,"compare two semver version strings, returning -1, 0, or 1",2014-11-08T05:53:58.878Z,1,324888398
bole,5.0.17,"['logging', 'json']",1729804940,A tiny JSON logger,2014-05-19T00:11:15.413Z,29,18978163
gatsby-remark-autolink-headers,6.14.0,"['gatsby', 'gatsby-plugin', 'remark']",1730894414,Gatsby plugin to autolink headers in markdown processed by Remark,2017-05-05T18:26:12.621Z,535,751661
simple-stack-form,0.1.12,"['withastro', 'astro-integration']",1705984086,A simple form library for Astro projects,2023-11-28T02:06:08.316Z,19,27051
@material/switch,14.0.0,"['material components', 'material design', 'switch']",1651136210,The Material Components for the web switch component,2017-02-06T19:04:52.081Z,1687,43232943
@oxc-node/core-linux-s390x-gnu,0.0.15,[],1725257902,This is the **s390x-unknown-linux-gnu** binary for `@oxc-node/core`,2024-07-17T10:53:41.360Z,7,1880
rcinfo,0.1.3,"['windows', 'exe', 'dll', 'info']",1443438678,Node module to show resources informations of exe and dll files,2015-09-28T13:49:57.845Z,3,357131
winston-transport,4.9.0,"['winston', 'transport', 'winston3']",1731177519,Base stream implementations for winston@3 and up.,2015-11-27T18:58:33.151Z,24,510901327
vue-virtual-scroll-list,2.3.5,"['vue', 'big-data', 'big-list', 'scroll-list', 'virtual-list']",1685300532,A vue component support big amount data list with high scroll performance.,2017-03-18T14:15:44.263Z,83,4540260
@firebase/app-types,0.9.3,[],1731569093,@firebase/app Types,2017-12-19T00:11:39.277Z,3082,153005880
css-list-helpers,2.0.0,"['css', 'list', 'helpers', 'split', 'space', 'comma']",1525414342,"Helper methods for splitting CSS lists (e.g., spaces, commas).",2015-10-02T02:43:59.658Z,3,1140573
gulp-purgecss,6.0.0,"['optimize', 'optimization', 'remove', 'unused', 'css', 'gulpplugin', 'gulp', 'plugin', 'purge', 'uncss']",1711704734,Gulp plugin for purgecss,2017-07-15T19:17:38.503Z,44,397440
antd-mobile,5.38.1,[],1730157034,"<div align=""center"">",2016-07-13T08:49:08.763Z,386,1963594
wide-align,1.1.5,"['wide', 'double', 'unicode', 'cjkv', 'pad', 'align']",1634278621,A wide-character aware text alignment function for use on the console or with fixed width fonts.,2015-12-16T05:58:03.765Z,8,803310472
stringstream,1.0.0,[],1535023990,Encode and decode streams into string streams,2012-06-23T01:34:19.097Z,8,44945022
@styled-icons/styled-icon,10.7.1,['styled-icons'],1712303605,Styled Icons base component,2019-11-22T02:40:49.027Z,14,1868724
gl-format-compiler-error,1.0.3,"['stackgl', 'webgl', 'glsl']",1504585740,Formats a webgl glsl compiler error.,2015-11-24T14:07:54.450Z,4,2451148
@tryghost/api-version-compatibility-service,0.4.4,[],1658476052,Service to notify Ghost instance owneres about API version compatibility issues,2022-04-21T12:58:55.998Z,12,8777
ember-cli-babel,8.2.0,"['babel', 'ember', 'ember-addon', 'ember-cli', 'transpile', 'transpiler']",1696923083,Ember CLI addon for Babel,2015-02-16T00:46:39.443Z,154,36122533
elysia,1.1.25,"['bun', 'http', 'web', 'server']",1731556176,Ergonomic Framework for Human,2022-12-04T13:03:46.418Z,446,1619575
torrent-piece,3.0.0,"['torrent', 'piece', 'chunk', 'webtorrent', 'torrent-stream', 'peerflix', 'bittorrent']",1690083418,Torrent piece abstraction,2015-08-19T15:39:10.701Z,7,182268
dotparser,1.1.1,"['dot', 'xdot', 'graphviz', 'parser', 'ast']",1654636132,Parser of GraphViz dot file format,2014-12-31T10:06:24.750Z,11,747877
babel-helper-optimise-call-expression,6.24.1,[],1491549548,Helper function to optimise call expression,2015-10-29T17:55:19.450Z,43,73363212
jquery-knob,1.2.11,"['jquery', 'knob', 'dial']",1436864016,"Nice, downward compatible, touchable, jQuery dial",2015-07-14T16:53:36.831Z,1,785866
@atlaskit/analytics-next,10.1.1,[],1726599472,"React components, HOCs and hooks to assist with tracking user activity with React components",2018-02-13T04:43:27.081Z,118,6633779
parse-color,1.0.0,"['rgb', 'rgba', 'hsl', 'hsla', 'hsv', 'hsva', 'cmyk', 'cmyka', 'color', 'css', 'alpha']",1407287908,parse a css color string (plus hsv and cmyk) into an object,2013-12-28T03:40:18.611Z,2,14793148
@heroku/socksv5,0.0.9,"['proxy', 'socks', 'socks5', 'socksv5']",1502813672,SOCKS protocol version 5 server and client implementations for node.js,2017-08-15T23:45:50.643Z,3,1235598
@mapbox/jsonlint-lines-primitives,2.0.2,"['json', 'validation', 'lint', 'jsonlint']",1532070319,Validate JSON,2018-03-29T17:38:52.066Z,3,58994112
@node-rs/crc32-darwin-arm64,1.10.5,"['SIMD', 'NAPI', 'napi-rs', 'node-rs', 'crc32', 'crc32c']",1730001789,SIMD crc32,2020-12-29T17:43:34.021Z,31,627298
@nestjs/core,10.4.8,[],1731649917,"Nest - modern, fast, powerful node.js web framework (@core)",2017-05-14T13:40:50.632Z,376,164232574
@hapi/boom,10.0.1,"['error', 'http']",1676108455,HTTP-friendly error objects,2019-03-27T01:01:43.067Z,21,150635580
@radix-ui/react-toolbar,1.1.0,[],1718798320,,2021-02-17T18:30:38.421Z,201,118920652
@blocksuite/block-std,0.17.32,[],1731469135,Std for blocksuite blocks,2023-06-20T16:07:37.710Z,817,446366
@csstools/css-parser-algorithms,3.0.4,"['css', 'parser']",1730453810,Algorithms to help you parse CSS from an array of tokens.,2022-11-14T09:46:49.829Z,22,157557639
@lit/context,1.1.3,[],1728298849,Helpers and controllers for using Context protocol,2023-09-29T00:04:57.657Z,7,1540127
remark-lint-list-item-content-indent,4.0.0,"['content', 'indent', 'item', 'lint', 'list', 'remark', 'remark-lint', 'remark-lint-rule', 'rule']",1712653092,remark-lint rule to warn when the content of a list item has mixed indentation,2017-02-23T17:26:04.321Z,13,3966707
json-bignum,0.0.3,[],1397820076,Node.js JSON replacement which handles 64-bit integers and arbitrary-precision decimals.,2013-03-22T22:04:32.263Z,3,8404803
apollo-link-core,0.5.4,[],1504725281,"Flexible, lightweight transport layer for GraphQL",2017-07-27T00:19:26.774Z,11,936416
bufrw,1.4.0,[],1698330355,Buffer Reading and Writing,2015-03-11T01:13:59.376Z,35,28743081
gulp-postcss,10.0.0,"['gulpplugin', 'postcss', 'postcss-runner', 'css']",1707187731,PostCSS gulp plugin,2014-08-17T15:28:39.851Z,39,10337697
@smithy/md5-js,3.0.10,[],1731587744,[![NPM version](https://img.shields.io/npm/v/@smithy/md5-js/latest.svg)](https://www.npmjs.com/package/@smithy/md5-js) [![NPM downloads](https://img.shields.io/npm/dm/@smithy/md5-js.svg)](https://www.npmjs.com/package/@smithy/md5-js),2023-06-19T22:00:41.036Z,41,277604729
passport-openidconnect,0.1.2,"['passport', 'openid', 'openidconnect', 'auth', 'authn', 'authentication', 'identity']",1707392515,OpenID Connect authentication strategy for Passport.,2013-02-17T00:14:38.852Z,5,1923782
@types/yargs,17.0.33,[],1722946060,TypeScript definitions for yargs,2016-05-17T19:19:15.034Z,150,3214004735
@parcel/transformer-react-refresh-wrap,2.13.0,[],1731403832,,2019-11-20T15:46:37.152Z,875,11802409
@phenomnomnominal/worker-require,0.0.34,[],1630119537,Nicer API for using worker-threads,2020-12-12T00:59:21.054Z,34,3507482
noop-logger,0.1.1,[],1455612051,A logger that does exactly nothing.,2014-02-28T03:58:21.111Z,3,30053976
update-check,1.5.4,"['update', 'notifications', 'checker', 'notifier']",1586770802,Minimalistic update notifications for command line interfaces,2018-04-08T21:02:36.619Z,12,84287477
lockfile-lint,4.14.0,"['lockfile check', 'lockfile lint', 'lockfile', 'lock', 'lint', 'yarn', 'npm', 'linter', 'security', 'parse']",1718330033,A CLI to lint a lockfile for security policies,2019-06-18T18:03:55.454Z,74,5153185
silent-error,1.1.1,[],1539123964,stackless unless otherwise requested error,2015-06-03T19:59:16.947Z,4,9986670
@firebase/storage-types,0.8.3,[],1731569177,@firebase/storage Types,2017-12-19T00:12:21.038Z,3058,83008705
@types/react-plotly.js,2.6.3,[],1699339454,TypeScript definitions for react-plotly.js,2018-07-24T01:01:04.399Z,13,4732346
@turf/meta,7.1.0,"['functional', 'programming', 'turfjs', 'geojson', 'meta', 'flattenEach', 'flattenReduce', 'segmentEach', 'segmentReduce', 'coordEach', 'coordReduce', 'propEach', 'propReduce', 'featureEach', 'featureReduce', 'coordAll', 'geomEach', 'geomReduce', 'lineEeach', 'lineReduce']",1723199076,turf meta module,2016-07-06T15:58:13.921Z,70,97117297
bezier-js,6.1.4,"['bezier', 'curves']",1689497727,A javascript library for working with Bezier curves,2015-03-22T01:14:32.034Z,82,5991373
function-bind,1.1.2,"['function', 'bind', 'shim', 'es5']",1697108899,Implementation of Function.prototype.bind,2013-06-16T23:25:41.232Z,6,2619519519
gatsby-remark-smartypants,6.14.0,"['gatsby', 'gatsby-plugin', 'smartypants']",1730894416,Use retext-smartypants to auto-enhance typography of markdown,2017-05-05T18:26:14.921Z,399,493345
mjml-head-title,4.15.3,[],1707098808,mjml-head-title,2016-06-21T10:04:22.071Z,99,29435703
@form-create/component-ivu-tree,2.6.2,"['@form-create', 'form-create-component', 'iview', 'view-design']",1731304620,@form-create/iview 内置组件,2021-02-14T06:07:05.005Z,20,8753
netlify-identity-widget,1.9.2,"['authentication', 'identity', 'netlify']",1627275494,Netlify Identity widget for easy integration,2017-09-08T22:24:21.652Z,44,456536
stream-via,1.0.4,"['through', 'stream', 'process', 'chunk', 'transform']",1496281996,stream-via,2015-07-03T00:04:44.670Z,8,13098352
esbuild-plugin-less,1.3.10,"['esbuild', 'plugin', 'less']",1726959466,esbuild plugin for less files,2021-01-20T17:59:40.881Z,43,954440
envalid,8.0.0,"['.env', 'dotenv', 'env', 'env var', 'environment', 'environment variable', 'validation']",1695185822,Validation for your environment variables,2012-11-29T05:34:49.807Z,55,10970177
@blueprintjs/popover2,2.1.14,"['palantir', 'blueprint', 'components', 'styles', 'theme', 'ui']",1731571102,Re-exports of popover-related components from @blueprintjs/core,2021-01-21T17:38:03.502Z,178,2995974
jvectormap,2.0.4,"['map', 'vector', 'world', 'usa', 'choropleth']",1463379889,jQuery plugin for embedding vector maps with reach API and methods for data visualization to the web-pages.,2016-05-16T13:35:58.867Z,9,705952
plugin-log,0.1.0,[],1442914009,Legacy logging for gulp plugins - gulp-util.log,2015-09-22T17:26:49.669Z,1,1687264
@glimmer/interfaces,0.92.3,[],1726193812,,2017-01-13T18:44:55.856Z,282,18334510
is-yarn-global,0.4.1,[],1668383417,Check if installed by yarn globally without any `fs` calls,2018-01-12T07:08:12.612Z,5,229627299
ts-error,1.0.6,"['Error', 'Extendable', 'JavaScript', 'ES6', 'esnext', 'TypeScript']",1589464134,"An extendable Error class that actually works, with TypeScript definition files, supporting old and new style classes and compatibility even with the oldest browsers",2018-03-19T19:52:01.664Z,8,9509647
path-absolute,1.0.1,"['path', 'absolute', 'tilde']",1543407953,Resolves a path to an absolute path. Supports tilde,2017-09-10T22:57:00.859Z,3,4505296
@mistralai/mistralai,1.3.1,[],1731407418,<!-- Start Summary [summary] --> ## Summary,2023-12-07T14:48:55.500Z,22,2171275
paypal-rest-sdk,1.8.1,"['paypal', 'rest', 'api', 'sdk']",1512374955,SDK for PayPal REST APIs,2013-04-05T11:36:11.581Z,44,1419512
updatable-log,0.2.0,"['log', 'update', 'logger']",1567675413,pretty logger with the ability to update lines in place,2018-10-15T23:42:06.249Z,2,4077873
@rollup/rollup-linux-x64-gnu,4.27.2,[],1731662442,Native bindings for Rollup,2023-07-31T19:17:48.510Z,108,343539654
postcss-minify-font-values,7.0.0,"['css', 'font', 'font-family', 'font-weight', 'optimise', 'postcss-plugin']",1713965639,Minify font declarations with PostCSS,2015-09-04T23:48:29.189Z,43,534909616
reflexjs,2.0.0,[],1618383253,A tiny library for creating and styling components using style props.,2014-12-13T15:06:24.988Z,25,3233
@hapi/validate,2.0.1,[],1676112277,Object schema validation,2020-07-16T08:15:12.896Z,7,70928814
